"","hgnc_symbol","entrezgene"
"1057","FIG4",9896
"1058","HIST1H3I",8354
"1059","EXOC2",55770
"1060","DSCC1",79075
"1061","FZR1",51343
"1062","SNORD113-2",767562
"1063","SNORA74A",26821
"1064","SNORD114-13",767591
"1065","HIST1H4L",8368
"1066","PIK3CD-AS1",644997
"1067","HIST1H2AJ",8331
"1068","",284379
"1069","OR7A17",26333
"1070","SNORA65",26783
"1071","GSDMD",79792
"1072","C14orf79",122616
"1073","FAM187A",388389
"1074","COQ3",51805
"1075","LYNX1",66004
"1076","PCBD2",84105
"1077","TBC1D19",55296
"1078","ART3",419
"1079","ZNF770",54989
"1080","NLRX1",79671
"1081","INSM1",3642
"1082","NLRP7",199713
"1083","TMEM17",200728
"1084","COL4A4",1286
"1085","TRIM24",8805
"1086","DPAGT1",1798
"1087","C6orf25",80739
"1088","SDHAF4",135154
"1089","ARL14",80117
"1090","C8orf59",401466
"1091","NPY6R",4888
"1092","TAS2R9",50835
"1093","OR2W1",26692
"1094","THBD",7056
"1095","RP2",6102
"1096","FOXRED2",80020
"1097","TMEM258",746
"1098","SLC22A5",6584
"1099","RNF2",6045
"1100","ABCC1",4363
"1101","MYH8",4626
"1102","OXSR1",9943
"1103","CBX6",23466
"1104","SLC25A37",51312
"1105","ZSCAN21",7589
"1106","HEMGN",55363
"1107","IGLL1",3543
"1108","XRCC1",7515
"1109","DAZ1",1617
"1110","SNORD18C",595100
"1111","AP1M1",8907
"1112","KRTAP9-4",85280
"1113","",100130264
"1114","LCE1B",353132
"1115","PCNP",57092
"1116","IGF2BP2-AS1",646600
"1117","CHIC2",26511
"1118","TUSC2",11334
"1119","TGFB2",7042
"1120","DRD4",1815
"1121","ZCCHC7",84186
"1122","SNORD114-17",767595
"1123","MRPL48",51642
"1124","ARMC6",93436
"1125","SNORD116-13",100033425
"1126","FAM110D",79927
"1127","PDLIM2",64236
"1128","KRTAP9-9",81870
"1129","MTMR10",54893
"1130","MYO9B",4650
"1131","HAPLN4",404037
"1132","ATP6V0A2",23545
"1133","HMGB4",127540
"1134","CHKA",1119
"1135","CALU",813
"1136","SOX4",6659
"1137","TYW1B",441250
"1138","DDR1",780
"1139","SLC35F5",80255
"1140","GSE1",23199
"1141","TSHB",7252
"1142","TUSC3",7991
"1143","CSAG3",389903
"1144","LPXN",9404
"1145","LINC00112",54089
"1146","TM9SF2",9375
"1147","THAP10",56906
"1148","EIF4ENIF1",56478
"1149","SNORA84",100124534
"1150","SNORD113-6",767566
