"","BT20_Abemaciclib_0.3_6","BT20_Abemaciclib_3_6","BT20_Palbociclib_0.3_6","BT20_Palbociclib_3_6","BT20_Ribociclib_0.3_6"
"DNAJC11",0.0923564503176022,0.144637143650015,0.259612193323553,0.0658554744024897,0.0952297379779992
"MYLIP",-0.0502080158150171,-0.522152371852948,-0.042639460924211,0.104205473226419,-0.0505681185607354
"E2F2",-1.71956248195432,-2.13173252678552,-1.91572636821656,-2.31535173570492,-1.11269423662041
"PSMB1",0.0665229602841783,0.1601171380349,-0.0223798495295183,-0.028841479260308,0.0483066895168986
"JARID2",0.192804964600039,-0.172696476212041,0.304659961039113,0.161924155805692,0.245676932648967
"CDK11A",0.130540047827967,0.700631582385447,-0.0179062505378494,0.292820961735534,0.958526211417807
"NADK",-0.0391787271124334,0.185004260906562,0.168439378723405,-0.0919552903103107,-0.0670860756644744
"CYTH3",-0.0645578082765096,-0.171891486687764,0.130461450981278,0.111840371580169,0.0752058751051451
"SYPL1",-0.141477492523367,-0.316992625237386,-0.302707322485821,-0.143590606570979,-0.0703066120898638
"CYB561",0.150168519658556,0.329715035702007,0.0576970040545864,0.0855004618644936,-0.0722961595219287
"SPAG9",-0.0145243010931167,0.0568115175411264,-0.0717491688188404,0.00189275257424968,0.083000371415833
"CELSR3",0.0322885489694222,-0.0661355797100929,0.130100904157447,-0.0261304988755446,0.136898614454874
"SS18L2",-0.106843067732381,-0.1671345180236,-0.203617425477667,-0.414303884991072,-0.173980149869531
"MPND",-0.0171889068106171,0.0406329500301345,0.211608341386902,0.0530424911560014,0.148693037028989
"MGST1",-0.0653272494959026,-0.0754543388512522,-0.176090844141155,-0.0513183584822866,-0.0595728258151531
"CRY1",-0.0514245987109174,-0.183808839919317,-0.014862431397309,-0.00108766868807345,0.18932303122702
"NFIX",0.0721502766403306,0.227006560614586,0.0249699113916313,-0.163604084453827,-0.0355221459230143
"ST3GAL1",0.188265455060072,-0.114465217797988,0.275982987308928,0.225632735009925,0.264247928582698
"PKD1",0.15095476700374,0.106675008811515,0.650326498890196,0.253067847998705,0.0134865374692449
"MED24",0.286152641356441,0.389397591051094,0.269157241888404,0.190928763942929,0.0973802996068311
"RHOBTB2",-0.166426979960004,-0.428400291168826,-0.111164196692479,0.0719618874157146,0.174035328742974
"HEATR5B",-0.00111028424243376,-0.0859316665898397,-0.0684917441828091,0.210527006949934,0.0410512224590826
"SEC62",-0.104684497830539,-0.251097335404672,-0.144046272995331,0.116252490551558,0.149472485362639
"RPS20",0.00628385253364642,0.303687832838971,-0.0349765685640087,0.0510606366865795,0.00314510668395759
"CSDE1",-0.0616351363183834,0.149021113669883,-0.0705296331721997,0.00609374320372891,0.0748790188587413
"UBE3C",-0.0940059733289038,-0.0733339876419829,-0.0982410623898941,-0.0897081566592879,0.0158031534914818
"REV3L",-0.239538437979779,-0.323195700963372,-0.228711564130474,-0.220357185048004,-0.0716179816417927
"FAM76A",0.212772208316681,-0.0390445303408133,0.288106573929991,0.533143189888585,0.132634564010898
"POMT2",0.0794824401283201,0.197942113949718,0.169719734810882,0.0469317964461483,0.168107010638486
"VTA1",-0.0537391190515957,-0.123057470958616,-0.119947043960482,-0.113703785530183,0.108262040037875
"BAZ1B",-0.322073973523563,-0.358190167276836,-0.381672224509564,-0.39432575590332,-0.229569521400127
"RANBP9",-0.228615147529593,-0.359678568340451,-0.209802213384839,-0.176372834483253,-0.027269626714169
"SPRTN",0.117828036813109,-0.135940222513421,-0.0772149425011492,-0.0140169313483638,0.154786485436992
"METTL13",0.197468952150555,-0.0837077788792055,0.310537031127336,0.0387855298125674,0.0728915373844721
"DYRK4",0.258954931694002,0.250936807072185,-0.17298435170086,-0.00417993906642972,0.000146737530082471
"ZNF207",-0.194520514871585,-0.133948968869385,-0.139861833173148,-0.11396380153226,-0.0556955508372917
"UQCRC1",0.150924288039898,0.396479716979207,0.121901820285534,-0.107222124672223,0.0130426347746052
"STARD3NL",-0.0661932673036021,-0.0364959020560978,-0.172956991825316,-0.0137107453464017,0.0843226070714634
"CD9",-0.0212022088134292,-0.0162112826117101,-0.133462502219614,-0.105308912343625,0.00364723634689131
"NCAPD2",-0.696026935194922,-0.624177578506279,-0.593084215212619,-0.591962109332633,-0.519337085341312
"NISCH",0.285976945383801,0.186296461979715,0.368696294715245,0.139273581628774,0.144917637569141
"IDS",0.0941366203194017,0.194237309223694,0.116566418866601,0.307361490420302,0.216286638959786
"LRRC23",-0.125999328208156,-0.192836626896126,0.0275193792339553,-0.264329937847647,-0.22186026586918
"HFE",0.290366532427629,0.357053793493255,0.178693704135534,0.1955300317374,0.0781339261964221
"SCMH1",-0.175166669373976,0.0888715398647285,-0.120922054023346,-0.315707008426622,-0.237825307427035
"HIVEP2",-0.151771430976838,-0.140358243579342,0.0301482787707247,0.102040140227549,-0.106384686816481
"TCEB3",0.104486129321149,-0.156082958320241,0.0487064248305877,-0.0219064920945177,0.14571351429683
"LYPLA2",0.381334166449746,0.474851619973404,0.366186973205917,0.131780518753826,0.0115356333580643
"CLCN6",0.521754946149654,0.749026835549025,0.28301636712921,0.40007446397295,0.564918874425747
"TSPAN9",0.183242909833214,0.171506052131329,0.231740137950001,0.0543142007681383,-0.0117260790049798
"BTBD7",0.0189890698702398,0.177235351109823,0.0507857080134817,0.139291399306664,0.108189934012425
"APBA3",0.537105574748197,0.805902422653743,0.776097518708976,0.1529697468342,0.223703304670765
"MKS1",0.186523275702634,0.0137720110864586,0.165166711274098,0.0452233299295644,0.25808487116327
"ABHD5",-0.561759207677426,-0.693405098115961,-0.460427861111686,-0.419932818797752,-0.304810216332084
"AKAP8L",0.685610422612322,1.27531987172094,0.504951670386996,0.434381160649932,0.109069110152728
"MBTD1",-0.251257128739318,-0.422849727348261,-0.117027556918236,-0.16802711261679,0.0430909469829394
"UTP18",-0.217032627116301,-0.920917223420066,-0.185119364396133,-0.135244819847146,-0.0429362755394998
"RNF216",0.0378302913048193,0.0798845743641965,0.104526235374135,0.0214528807984068,0.0428394054876927
"TTC19",0.178529209147431,0.0824105864337053,0.174486630155435,0.191719650168452,0.155435505487344
"PTBP1",0.0722332561850573,0.360607166854325,0.0921081732088048,0.128686340914397,-0.0279576734096801
"LARS2",0.0544995606131176,-0.281329197467922,0.119947583769144,-0.00915885620136036,-0.0300778590281172
"PIK3C2A",-0.216713669349016,-0.361954791915963,-0.176235562439588,-0.169165590873719,-0.0347033220698363
"ANLN",-0.575890047966529,-0.796388977065462,-0.554661135363511,-0.570168320900314,-0.24352927517399
"WIZ",0.42209521099671,0.82233606648763,0.568018409511164,0.34640631108129,0.111847106688329
"RABGAP1",0.147805892267984,0.326606438158592,-0.0693062181634312,0.0966163406274222,-0.153322236742756
"QPCTL",0.469390616338283,0.673757764043583,0.299379452775918,0.208778633804485,0.0897970762905323
"PPP5C",-0.0903777122840075,0.0307538651735502,-0.0167458238586043,-0.07940708087508,0.0709967274575659
"CEP68",-0.0136422048508037,-0.522635368429851,-0.0958786599854229,0.0714279703830529,-0.162599554877607
"MAP4K3",-0.0641730276015499,-0.259172644350422,-0.137155189528403,-0.0276795056407226,0.0135208175341648
"TMEM159",0.0204692963691302,-0.141361970505345,0.130990782717219,-0.0719981775467462,0.0820730097865853
"BRCA1",-1.46008452143856,-1.4215699140337,-1.43279147302782,-1.3912744971555,-0.975721644655302
"ERCC1",0.407755633294191,0.307383760024963,0.322630014359433,0.261631909638483,0.224216648002052
"MBTPS2",0.195770972994499,-0.0948254486420115,-0.013900629884452,0.23378107635214,-0.0464446751417432
"EXTL3",-0.0150099453150952,-0.401640115543555,0.194188446215726,0.0300342057848655,0.0698386750729573
"ELOVL5",-0.0728560155302246,-0.108867567608991,-0.339594015834866,-0.0262966140417932,-0.18879833642669
"CALCOCO1",-0.145272638312965,-0.245223991802541,0.0529241228243747,0.0479429286219823,-0.109581358697277
"UBR7",-0.949942325526346,-0.712568359545694,-0.627878688303421,-0.74743646479905,-0.426838319471438
"MAP4K5",-0.103981856515617,-0.164672257440839,-0.162190944003284,-0.128725199128699,-0.00750639994379965
"EHD3",-0.710023614456462,-0.116256383636065,-0.0234485593368953,-0.286164129677356,-0.170250953822398
"PSMC4",0.199296798591794,0.351374513957153,0.194216622681836,0.112401987667639,0.110567158398209
"MAN2B2",0.175543320870933,0.480431562194478,0.232148986958033,0.0722654055154008,-0.00381128297629631
"SLC25A39",0.207810231754965,0.496142259805347,0.203208933556878,0.0382391094517278,0.0570980186147383
"MVP",0.314586419252395,0.461334122862565,0.356073401276011,0.200285462946546,0.123067045493249
"NUB1",-0.0951394690483656,-0.255593270762225,-0.0908726526976218,0.0291789112704533,-0.0799701147128003
"PGM3",-0.108025878864048,-0.413362518055118,-0.202449057286186,-0.0538526409347361,-0.236293393695715
"RWDD2A",0.130854815736718,0.111392847837576,0.0690723759723252,0.288041303900039,0.179594968157912
"CLK1",0.304533759391075,0.321286271952716,-0.111479697998524,0.384681609252825,-0.0605847552305756
"POLR3B",0.0109176237384369,-0.226705750503433,0.235196026947063,0.189189727975823,0.274784971789883
"ANGEL1",0.00576384581831465,-0.10838151923107,0.0048851017296279,-0.331800353172234,-0.0451440984336017
"RNF14",0.0962914544549668,-0.321253809988149,-0.0309879280872644,0.351340023620188,0.13039360075895
"DNASE1L1",0.0836228121091991,0.194726115501948,0.113265066258944,-0.0634520028571418,-0.00243248229481896
"DDX11",-0.711863035316557,-0.669846564097906,-0.636455495133228,-0.751987792203282,-0.338051063516967
"HEBP1",-0.0661873318788913,-0.0714521147482764,-0.397501375613072,-0.0703406947083262,-0.339057653885719
"GPRC5A",-0.0582713187291877,-0.254888138393916,0.210942377542629,0.302611000616059,0.148057796287623
"TACC3",-0.400455317814346,-0.65361027014591,-0.450512933537477,-0.674292407875663,-0.397238092537788
"UFL1",-0.0357997210184114,-0.235585483012926,-0.180042521205468,-9.57319518368019e-05,0.127111670718455
"POLA2",-0.899658635912108,-1.35335966382942,-0.816581510650643,-1.16311845256982,-0.476793855121788
"ZC3H3",0.391574974667081,0.62466918201517,0.609375200765151,0.391099540614965,0.0365072524600533
"CAPN1",0.24865907598276,0.48287912543445,0.227034262064596,0.0775347175200549,0.0587794228586644
"MDH1",-0.0825245365002301,0.0676892274030017,-0.173769378179032,-0.115277142882203,-0.0999257508158628
"SLC30A9",0.0100914273426227,-0.0582926028874962,-0.0670385350043531,0.123692334432665,-0.0155684365515216
